id,zip,primary_city,state,county,timezone,latitude,longitude,country,estimated_population
29891,68307,Avoca,NE,Cass County,America/Chicago,40.79,-96.11,US,0
29892,68309,Barneston,NE,Gage County,America/Chicago,40.04,-96.57,US,0
29893,68310,Beatrice,NE,Gage County,America/Chicago,40.26,-96.74,US,11815
29894,68313,Beaver Crossing,NE,Seward County,America/Chicago,40.77,-97.28,US,776
29895,68314,Bee,NE,Seward County,America/Chicago,41,-97.05,US,0
29896,68315,Belvidere,NE,Thayer County,America/Chicago,40.25,-97.55,US,0
29897,68316,Benedict,NE,York County,America/Chicago,41,-97.6,US,0
29898,68317,Bennet,NE,Lancaster County,America/Chicago,40.68,-96.5,US,1356
29899,68318,Blue Springs,NE,Gage County,America/Chicago,40.13,-96.66,US,0
29900,68319,Bradshaw,NE,York County,America/Chicago,40.88,-97.74,US,488
29901,68320,Brock,NE,Nemaha County,America/Chicago,40.48,-95.95,US,0
29902,68321,Brownville,NE,Nemaha County,America/Chicago,40.39,-95.66,US,0
29903,68322,Bruning,NE,Thayer County,America/Chicago,40.33,-97.56,US,0
29904,68323,Burchard,NE,Pawnee County,America/Chicago,40.14,-96.34,US,0
29905,68324,Burr,NE,Otoe County,America/Chicago,40.53,-96.29,US,0
